iter	Passed	Remaining
854	11671	1979
855	11685	1965
856	11699	1952
857	11711	1938
858	11724	1924
859	11737	1910
860	11749	1896
861	11761	1882
862	11774	1869
863	11787	1855
864	11800	1841
865	11813	1828
866	11826	1814
867	11839	1800
868	11851	1786
869	11865	1772
870	11878	1759
871	11891	1745
872	11905	1731
873	11918	1718
874	11932	1704
875	11945	1690
876	11958	1677
877	11971	1663
878	11984	1649
879	11998	1636
880	12011	1622
881	12023	1608
882	12036	1594
883	12049	1581
884	12062	1567
885	12075	1553
886	12088	1540
887	12101	1526
888	12114	1512
889	12127	1498
890	12141	1485
891	12153	1471
892	12166	1457
893	12179	1444
894	12193	1430
895	12205	1416
896	12218	1403
897	12232	1389
898	12245	1375
899	12259	1362
900	12271	1348
901	12285	1334
902	12297	1321
903	12310	1307
904	12322	1293
905	12339	1280
906	12351	1266
907	12363	1252
908	12375	1238
909	12387	1225
910	12400	1211
911	12413	1197
912	12425	1184
913	12438	1170
914	12451	1156
915	12464	1142
916	12476	1129
917	12489	1115
918	12502	1101
919	12515	1088
920	12528	1074
921	12541	1061
922	12554	1047
923	12570	1033
924	12584	1020
925	12597	1006
926	12610	993
927	12623	979
928	12635	965
929	12649	952
930	12662	938
931	12676	924
932	12688	911
933	12700	897
934	12713	883
935	12725	870
936	12738	856
937	12751	842
938	12764	829
939	12777	815
940	12790	801
941	12803	788
942	12816	774
943	12829	761
944	12841	747
945	12854	733
946	12867	720
947	12879	706
948	12893	692
949	12906	679
950	12919	665
951	12933	652
952	12953	638
953	12966	625
954	12989	612
955	13002	598
956	13015	584
957	13028	571
958	13041	557
959	13054	543
960	13068	530
961	13081	516
962	13094	503
963	13108	489
964	13122	475
965	13135	462
966	13148	448
967	13162	435
968	13175	421
969	13189	407
970	13203	394
971	13217	380
972	13229	367
973	13244	353
974	13257	339
975	13271	326
976	13284	312
977	13297	299
978	13311	285
979	13325	271
980	13338	258
981	13352	244
982	13366	231
983	13379	217
984	13395	203
985	13410	190
986	13424	176
987	13438	163
988	13452	149
989	13466	136
990	13479	122
991	13493	108
992	13506	95
993	13520	81
994	13534	68
995	13548	54
996	13561	40
997	13574	27
998	13587	13
999	13601	0
